y_pred,y_true
12.0,11
12.0,6
11.0,13
12.0,7
14.0,13
11.0,9
12.0,18
10.0,4
9.0,16
10.0,0
11.0,18
10.0,5
13.0,17
12.0,4
12.0,12
12.0,5
14.0,7
11.0,12
7.0,6
14.0,16
10.0,2
11.0,8
9.0,9
12.0,14
13.0,15
10.0,2
11.0,72
12.0,15
12.0,3
11.0,12
11.0,26
10.0,7
11.0,4
12.0,32
10.0,8
11.0,11
11.0,19
10.0,26
12.0,13
10.0,4
10.0,21
11.0,13
12.0,14
11.0,10
11.0,8
10.0,24
8.0,12
11.0,7
10.0,7
11.0,8
10.0,8
11.0,5
10.0,30
11.0,22
8.0,13
12.0,16
9.0,5
10.0,20
8.0,10
11.0,6
11.0,17
11.0,20
14.0,15
10.0,10
10.0,1
10.0,20
11.0,16
10.0,4
11.0,13
14.0,7
10.0,7
9.0,11
11.0,4
10.0,3
11.0,12
9.0,7
14.0,44
11.0,4
11.0,6
11.0,5
10.0,5
12.0,3
12.0,25
10.0,2
11.0,5
13.0,20
11.0,18
11.0,17
12.0,18
11.0,18
11.0,3
8.0,5
11.0,15
14.0,8
12.0,15
11.0,16
11.0,9
12.0,8
10.0,4
11.0,5
12.0,0
12.0,9
11.0,11
12.0,3
12.0,17
11.0,13
11.0,7
12.0,15
11.0,7
10.0,12
10.0,18
10.0,4
11.0,7
12.0,1
12.0,8
11.0,24
11.0,7
9.0,10
12.0,22
11.0,22
11.0,7
11.0,6
9.0,7
12.0,17
12.0,24
12.0,21
12.0,12
9.0,6
12.0,11
11.0,6
12.0,14
10.0,6
12.0,8
12.0,7
10.0,10
14.0,15
16.0,2
11.0,8
8.0,16
11.0,7
12.0,16
11.0,9
11.0,3
11.0,7
11.0,8
10.0,5
10.0,24
10.0,2
10.0,2
10.0,20
9.0,12
9.0,4
10.0,42
10.0,7
11.0,10
10.0,9
12.0,8
11.0,7
11.0,2
10.0,14
11.0,3
11.0,8
10.0,17
11.0,18
12.0,21
8.0,1
11.0,20
10.0,8
11.0,24
12.0,4
11.0,1
11.0,9
11.0,14
12.0,5
11.0,6
11.0,24
12.0,13
12.0,6
11.0,12
11.0,6
10.0,7
11.0,13
10.0,8
10.0,14
12.0,7
14.0,21
10.0,4
12.0,5
10.0,8
13.0,6
10.0,2
10.0,27
11.0,44
10.0,4
13.0,7
10.0,8
13.0,7
11.0,15
10.0,10
11.0,3
12.0,18
9.0,4
12.0,0
11.0,4
10.0,12
9.0,41
13.0,25
10.0,13
11.0,5
11.0,5
14.0,14
11.0,23
11.0,8
11.0,36
11.0,12
11.0,6
14.0,13
12.0,6
10.0,8
10.0,5
12.0,14
8.0,17
15.0,3
11.0,6
11.0,18
12.0,4
9.0,11
10.0,3
13.0,7
12.0,11
11.0,17
9.0,26
13.0,11
14.0,33
11.0,13
11.0,7
12.0,15
11.0,4
11.0,13
12.0,15
11.0,8
12.0,23
11.0,11
11.0,5
11.0,10
11.0,17
13.0,7
11.0,2
12.0,45
10.0,3
11.0,10
11.0,15
10.0,18
9.0,7
10.0,13
12.0,19
10.0,17
8.0,8
11.0,15
11.0,13
11.0,40
11.0,10
11.0,12
11.0,11
10.0,22
11.0,13
11.0,14
11.0,18
12.0,1
12.0,20
10.0,12
10.0,11
8.0,4
11.0,3
11.0,3
14.0,16
11.0,6
11.0,22
12.0,15
10.0,14
10.0,4
11.0,12
10.0,12
8.0,6
11.0,9
14.0,20
11.0,2
11.0,17
10.0,8
10.0,17
11.0,11
11.0,25
12.0,11
10.0,4
12.0,12
11.0,6
11.0,10
11.0,8
11.0,22
11.0,22
12.0,25
10.0,38
12.0,24
11.0,11
12.0,2
14.0,13
